customer_id,customer_name,segment
DP-13000,Darren Powers,Consumer
PO-19195,Phillina Ober,Home Office
MB-18085,Mick Brown,Consumer
ME-17320,Maria Etezadi,Home Office
JO-15145,Jack O'Briant,Corporate
LS-17230,Lycoris Saunders,Consumer
VS-21820,Vivek Sundaresam,Consumer
MS-17830,Melanie Seite,Consumer
AJ-10780,Anthony Jacobs,Corporate
SV-20365,Seth Vernon,Consumer
BD-11605,Brian Dahlen,Consumer
ND-18370,Natalie DeCherney,Consumer
MM-17920,Michael Moore,Consumer
CS-12250,Chris Selesnick,Corporate
BS-11590,Brendan Sweed,Corporate
EH-13990,Erica Hackney,Consumer
DL-13315,Delfina Latchford,Consumer
DW-13195,David Wiener,Corporate
TS-21340,Toby Swindell,Consumer
HL-15040,Hunter Lopez,Consumer
XP-21865,Xylona Preis,Consumer
MV-17485,Mark Van Huff,Consumer
MM-18280,Muhammed MacIntyre,Corporate
TB-21400,Tom Boeckenhauer,Consumer
JW-15220,Jane Waco,Corporate
SG-20605,Speros Goranitis,Consumer
IM-15055,Ionia McGrath,Consumer
CA-11965,Carol Adams,Corporate
SD-20485,Shirley Daniels,Home Office
EJ-13720,Ed Jacobs,Consumer
JC-15340,Jasper Cacioppo,Consumer
MV-18190,Mike Vittorini,Consumer
LC-17050,Liz Carlisle,Consumer
BD-11500,Bradley Drucker,Consumer
EB-13930,Eric Barreto,Consumer
CD-12790,Cynthia Delaney,Home Office
MH-17440,Mark Haberlin,Corporate
DB-13270,Deborah Brumfield,Home Office
ND-18460,Neil Ducich,Corporate
CK-12760,Cyma Kinney,Corporate
NM-18445,Nathan Mautz,Home Office
GA-14725,Guy Armstrong,Consumer
NF-18385,Natalie Fritzler,Consumer
SC-20095,Sanjit Chand,Consumer
ML-17395,Marina Lichtenstein,Corporate
ST-20530,Shui Tom,Consumer
BF-11020,Barry Französisch,Corporate
MN-17935,Michael Nguyen,Consumer
TB-21595,Troy Blackwell,Consumer
AB-10015,Aaron Bergman,Consumer
LC-16930,Linda Cazamias,Corporate
SR-20740,Steven Roelle,Home Office
TM-21010,Tamara Manning,Consumer
SA-20830,Sue Ann Reed,Consumer
MG-17875,Michael Grace,Home Office
JH-15430,Jennifer Halladay,Consumer
JS-16030,Joy Smith,Consumer
VF-21715,Vicky Freymann,Home Office
SC-20380,Shahid Collister,Consumer
DB-13060,Dave Brooks,Consumer
GW-14605,Giulietta Weimer,Consumer
HR-14770,Hallie Redmond,Home Office
KN-16705,Kristina Nunn,Home Office
NH-18610,Nicole Hansen,Corporate
JS-15595,Jill Stevenson,Corporate
EJ-14155,Eva Jacobs,Consumer
SC-20020,Sam Craven,Consumer
AJ-10945,Ashley Jarboe,Consumer
AP-10720,Anne Pryor,Home Office
CL-12565,Clay Ludtke,Consumer
AB-10150,Aimee Bixby,Consumer
